product_name,brands,countries,sugars_100g
"Tamarind Juice With Nata De Coco, Tamarind",Kelly Jelly,US,166.67
Brioche Tranchée,Harry's,France,145.0
Tomato Ketchup,Heinz,États-Unis,134.0
Sirop d'agave,Carrefour Bio,France,105.0
Sirop d'Agave brun bio,Bjorg,France,104.0
Agavendicksaft,Allos,Deutschland,103.5
Sirop d agave pur,Allos,France,103.5
Agavendicksaft,enerBIO,Deutschland,103.5
Organic Rough Cut Sugar Cubes,Natsucar,US,100.0
"The Gourmet Baking Co, Peppermint Crunch",Pepper Creek Farms  Inc.,US,100.0
Cotton Candy,"Hammond's,  Quisling Media",US,100.0
"Turkey Brine Kit, Garlic & Herb","Spice Islands,  Ach Food Companies  Inc.",US,100.0
Puderzucker,Südzucker,Deutschland,100.0
"House Of Herbs, Blackstrap Molasses",House Of Herbs Llc,US,100.0
Purple Sugar Crystals,"Tops,  Holiday Candy Corp  Inc.",US,100.0
Aspartame Sweetener,Supervalu  Inc.,US,100.0
Petits Morceaux Blond Pure Canne,"Saint-Louis,Saint Louis",France,100.0
Sucre Glacé : avec tamis,Betty Bossi,Suisse,100.0
Sucre en morceaux N°4 - 1 kg,Carrefour Discount,France,100.0
The Dogout Gum,Dubble Bubble,US,100.0
